,,Table of available Primitives,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,"The parser will search this list to ascertain that a combination of parameter types and operator is available, and the result type that combination will return.",,,,,,,,,,,,,,,,,,,,
,,The code generator will search this list to find the optimum routine to generate for the combination of parameter types and locations.,,,,,,,,,,,,,,,,,,,,
,,The register allocater will use the list to choose registers to parameters and results to.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,For full documentation see TPrimitive record in the Def.Primitives.pas file,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,"Valid values for Lreg, Rregs and ResultRegs:",,,,,,,,,,,,,,,,,,,,
,,,"imm, static, stack, or a semicolon separated list of CPU registers and flags. Imm is invalid for ResultReg.",,,,,,,,,,,,,,,,,,,
,,,"imm, static, stack cannot be included in a list or locations - they must be the only value given",,,,,,,,,,,,,,,,,,,
,,,"Where imm, static or stack are given another variant which uses register must (usually!) be available",,,,,,,,,,,,,,,,,,,
,,"Lines will be ignored if they begin with a semicolon, or if Operation column is empty",,,,,,,,,,,,,,,,,,,,
,,Terminate the file with 'END' in capitals in first column,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,;Notes: Ordering of items in the table is significant!,,,,,,,,,,,,,,,,,,,,
,,,;All handlers for an operation must be grouped together,,,,,,,,,,,,,,,,,,,
,,,;Smaller types /should/ be listed before larger types (but not currently a requirement),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
;,Binary operators,,,,,,,,,(Empty columns for formatting),,,,,,,,,,,,
;,,----Primitive Selection----,,,,,,,----Primitive Data----,,,,,KEEP!!,,,Optimised range checks for type conversions,,,,,
;,Operation,Ltype,Rtype,Commutative,ResultType,OverflowChecking,BoundsCheck,Flags,Proc/Fragment/Subroutine,,,Lregs,Rregs,ResultRegs,Corrupts,OverflowCheck,Int8,Byte,Integer,Word,Notes,
,add,Byte,Byte,y,Byte,x,x,,add8_reg_imm,,,,,,,c_overflow,m_range,,,,,
,add,Byte,Byte,y,Byte,x,x,,add8_reg_reg,,,,,,,c_overflow,m_range,,,,,
,add,Int8,Int8,y,Int8,x,x,,add8_reg_imm,,,,,,,pe_overflow,,m_range,,m_range,,
,add,Int8,Int8,y,Int8,x,x,,add8_reg_reg,,,,,,,pe_overflow,,m_range,,m_range,,
,add,Word,Word,y,Word,y,x,,add16_overflow,,,,,,,c_overflow,,,m_range,,"Uses ADC HL,ss which does set sign flag",
,add,Word,Word,y,Word,x,x,,add16_nooverflow,,,,,,,c_overflow,,,,,"Uses ADD HL,ss which doesn't set flags needed for conversions, but is faster",
,add,Integer,Integer,y,Integer,y,x,,add16_overflow,,,,,,,pe_overflow,,,,m_range,"Uses ADC HL,ss which sets all flags",
,add,Integer,Integer,y,Integer,n,x,,add16_nooverflow,,,,,,,,,,,,"Uses ADD HL,ss",
,add,Integer,Word,y,Integer,n,x,,add16_nooverflow,,,,,,,,,,,,"Uses ADD HL,ss",
,add,Integer,Word,y,Word,n,x,,add16_nooverflow,,,,,,,,,,,,"Uses ADD HL,ss",
,add,Integer,Word,y,Integer,y,x,,:add16_s_u__s_raise_errors,,,hl,de,hl,hl;de;bc;f,empty,,,,,Add signed to unsigned returning signed. Overflow raised by routine.,
,add,Integer,Word,y,Word,y,x,,:add16_s_u__u_raise_errors,,,hl,de,hl,hl;de;bc;f,empty,,,,,Addsigned to unsigned returning unsigned. Overflow raised by routine,
;,add,Char,Char,n,String,x,x,,:concat_char,,,a,l,hl,?,empty,,,,,c+c,
;,add,Char,String,n,String,x,x,,:concat_char_string,,,a,hl,hl,?,empty,,,,,c+s,
;,add,String,Char,n,String,x,x,,:concat_string_char,,,hl,a,hl,?,empty,,,,,s+c,
;,add,String,String,n,String,x,x,,:concat_string,,,hl,de,hl,?,empty,,,,,s+s,
,,,,,,,,,,,,,,,,,,,,,,
,subtract,Byte,Byte,n,Byte,x,x,,sub8_reg_imm,,,,,,,c_overflow,m_rangecheck,,,,,
,subtract,Byte,Byte,n,Byte,x,x,,sub8_reg_reg,,,,,,,c_overflow,m_rangecheck,,,,,
,subtract,Int8,Int8,n,Int8,x,x,,sub8_reg_imm,,,,,,,pe_overflow,,m_range,,m_range,,
,subtract,Int8,Int8,n,Int8,x,x,,sub8_reg_reg,,,,,,,pe_overflow,,m_range,,m_range,,
,subtract,Word,Word,n,Word,x,x,,sub16,,,,,,,c_overflow,,,m_range,,,
,subtract,Integer,Integer,n,Integer,x,x,,sub16,,,,,,,pe_overflow,,,,m_range,,
,subtract,Integer,Word,n,Integer,n,x,,sub16,,,,,,,,,,,,,
,subtract,Integer,Word,n,Word,n,x,,sub16,,,,,,,,,,,,,
,subtract,Word,Integer,n,Integer,n,x,,sub16,,,,,,,,,,,,,
,subtract,Word,Integer,n,Word,n,x,,sub16,,,,,,,,,,,,,
,subtract,Integer,Word,n,Integer,y,x,,:sub16_s_u__s_raise_errors,,,hl,de,hl,h;l;f,empty,,,,,"First param is the S16, output is s16",
,subtract,Word,Integer,n,Integer,y,x,,:sub16_u_s__s_raise_errors,,,hl,de,hl,h;l;f,empty,,,,,"First param is the u16, output is s16",
,subtract,Integer,Word,n,Word,y,x,,:sub16_s_u__u_raise_errors,,,hl,de,hl,h;l;f,empty,,,,,"First param is the S16, output is u16",
,subtract,Word,Integer,n,Word,y,x,,:sub16_u_s__u_raise_errors,,,hl,de,hl,h;l;f,empty,,,,,"First param is the u16, output is u16",
,,,,,,,,,,,,,,,,,,,,,,
,multiply,Byte,Byte,y,Byte,x,x,,:mult8_h_e__hl,,,h,e,l,a;f;b;d;e;h;l,hreg_nz_overflow,,,,,,
,multiply,Byte,Byte,y,Word,x,x,,:mult8_h_e__hl,,,h,e,hl,a;f;b;d;e;h;l,empty,,,,,"Technically we could do this, but it violates other expression parsing rules.",
,multiply,Integer,Integer,y,Integer,x,x,,:mult16_s_s__s,,,hl,de,hl,a;f;b;d;e;h;l,nc_overflow,,,,,,
,multiply,Word,Word,y,Word,x,x,,:mult16_u_u__u,,,hl,de,hl,a;f;d;e;h;l,c_overflow,,,,,,
,multiply,Integer,Word,y,Integer,x,x,,:mult16_s_u__s,,,hl,de,hl,a;f;b;d;e;h;l,nc_overflow,,,,,,
,multiply,Integer,Word,y,Word,x,x,,:mult16_s_u__u,,,hl,de,hl,a;f;b;d;e;h;l,nc_overflow,,,,,,
